"part","term","statistic","FE only","Fully adj.","FE only ","Fully adj. ","FE only  ","Fully adj.  ","FE only   ","Fully adj.   ","FE only    ","Fully adj.    ","FE only     ","Fully adj.     ","FE only      ","Fully adj.      ","FE only       ","Fully adj.       ","FE only        ","Fully adj.        "
"estimates","$1 increase in minimum wage","estimate","0.0032","0.0022","0.0041","0.0030","-0.0032","-0.0020","0.0012","0.0007","0.0013","0.0004","8.242e-04","-0.0007","0.0000","-0.0005","-0.0072","-0.0050","1.428e-04","-0.0008"
"estimates","$1 increase in minimum wage","(({std.error}))","((0.0017))","((0.0010))","((0.0025))","((0.0019))","((0.0018))","((0.0021))","((0.0029))","((0.0028))","((0.0026))","((0.0022))","((0.0017))","((0.0016))","((5.477e-04))","((0.0007))","((0.0060))","((0.0044))","((0.0031))","((0.0037))"
"estimates","$1 increase in minimum wage","P={p.value}","P=0.068","P=0.029","P=0.112","P=0.123","P=0.080","P=0.335","P=0.691","P=0.810","P=0.623","P=0.852","P=0.628","P=0.689","P=0.938","P=0.448","P=0.232","P=0.262","P=0.964","P=0.824"
"estimates","4 years old","estimate","","-0.0016","","0.0024","","0.0090","","0.0121","","-0.0054","","0.0040","","-0.0007","","","",""
"estimates","4 years old","(({std.error}))","","((0.0032))","","((0.0060))","","((0.0035))","","((0.0049))","","((0.0059))","","((0.0036))","","((0.0014))","","","",""
"estimates","4 years old","P={p.value}","","P=0.623","","P=0.691","","P=0.013","","P=0.017","","P=0.360","","P=0.273","","P=0.636","","","",""
"estimates","5 years old","estimate","","-0.0017","","0.0124","","0.0229","","0.0270","","-0.0099","","0.0090","","0.0003","","","",""
"estimates","5 years old","(({std.error}))","","((0.0029))","","((0.0053))","","((0.0033))","","((0.0054))","","((0.0060))","","((0.0050))","","((0.0011))","","","",""
"estimates","5 years old","P={p.value}","","P=0.564","","P=0.024","","P=0.000","","P=0.000","","P=0.103","","P=0.078","","P=0.818","","","",""
"estimates","6 years old","estimate","","0.0072","","0.0269","","0.0367","","0.0405","","-0.0064","","0.0162","","0.0096","","","",""
"estimates","6 years old","(({std.error}))","","((0.0053))","","((0.0043))","","((0.0058))","","((0.0040))","","((0.0101))","","((0.0045))","","((0.0033))","","","",""
"estimates","6 years old","P={p.value}","","P=0.178","","P=0.000","","P=0.000","","P=0.000","","P=0.528","","P=0.001","","P=0.006","","","",""
"estimates","7 years old","estimate","","0.0086","","0.0455","","0.0569","","0.0441","","0.0093","","0.0038","","0.0023","","-0.0010","","0.0096"
"estimates","7 years old","(({std.error}))","","((0.0043))","","((0.0077))","","((0.0084))","","((0.0069))","","((0.0085))","","((0.0032))","","((0.0013))","","((0.0077))","","((0.0041))"
"estimates","7 years old","P={p.value}","","P=0.050","","P=0.000","","P=0.000","","P=0.000","","P=0.283","","P=0.245","","P=0.076","","P=0.896","","P=0.023"
"estimates","8 years old","estimate","","0.0089","","0.0572","","0.0776","","0.0692","","0.0090","","0.0144","","0.0100","","-0.0107","","0.0310"
"estimates","8 years old","(({std.error}))","","((0.0042))","","((0.0086))","","((0.0076))","","((0.0061))","","((0.0084))","","((0.0057))","","((0.0032))","","((0.0077))","","((0.0068))"
"estimates","8 years old","P={p.value}","","P=0.037","","P=0.000","","P=0.000","","P=0.000","","P=0.285","","P=0.014","","P=0.003","","P=0.174","","P=0.000"
"estimates","9 years old","estimate","","0.0182","","0.0668","","0.1029","","0.0717","","0.0157","","0.0112","","0.0068","","0.0006","","0.0469"
"estimates","9 years old","(({std.error}))","","((0.0023))","","((0.0054))","","((0.0067))","","((0.0078))","","((0.0053))","","((0.0077))","","((0.0029))","","((0.0122))","","((0.0079))"
"estimates","9 years old","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.004","","P=0.149","","P=0.022","","P=0.963","","P=0.000"
"estimates","10 years old","estimate","","0.0197","","0.0726","","0.1068","","0.0635","","0.0131","","0.0188","","0.0099","","-0.0028","","0.0739"
"estimates","10 years old","(({std.error}))","","((0.0047))","","((0.0051))","","((0.0077))","","((0.0092))","","((0.0080))","","((0.0077))","","((0.0038))","","((0.0107))","","((0.0058))"
"estimates","10 years old","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.107","","P=0.019","","P=0.012","","P=0.795","","P=0.000"
"estimates","11 years old","estimate","","0.0285","","0.0826","","0.1015","","0.0587","","-0.0058","","0.0189","","0.0087","","-0.0048","","0.1088"
"estimates","11 years old","(({std.error}))","","((0.0044))","","((0.0074))","","((0.0104))","","((0.0047))","","((0.0110))","","((0.0041))","","((0.0019))","","((0.0110))","","((0.0098))"
"estimates","11 years old","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.599","","P=0.000","","P=0.000","","P=0.663","","P=0.000"
"estimates","12 years old","estimate","","0.0327","","0.0892","","0.1135","","0.0553","","0.0038","","0.0149","","0.0094","","0.0032","","0.1807"
"estimates","12 years old","(({std.error}))","","((0.0041))","","((0.0073))","","((0.0086))","","((0.0067))","","((0.0110))","","((0.0060))","","((0.0026))","","((0.0063))","","((0.0121))"
"estimates","12 years old","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.734","","P=0.017","","P=0.001","","P=0.616","","P=0.000"
