"part","term","statistic","FE only","Fully adj.","FE only ","Fully adj. ","FE only  ","Fully adj.  ","FE only   ","Fully adj.   ","FE only    ","Fully adj.    ","FE only     ","Fully adj.     "
"estimates","$1 increase in minimum wage","estimate","0.0054","0.0030","0.0028","0.0014","-5.302e-04","-0.0003","-0.0023","-0.0006","-0.0011","0.0008","0.0045","0.0046"
"estimates","$1 increase in minimum wage","(({std.error}))","((0.0045))","((0.0034))","((0.0035))","((0.0028))","((0.0016))","((0.0016))","((0.0024))","((0.0029))","((0.0025))","((0.0023))","((0.0046))","((0.0037))"
"estimates","$1 increase in minimum wage","P={p.value}","P=0.239","P=0.385","P=0.426","P=0.619","P=0.749","P=0.835","P=0.356","P=0.827","P=0.662","P=0.733","P=0.333","P=0.216"
"estimates","Female","estimate","","0.1606","","0.0854","","0.0373","","0.0218","","-0.0298","","-0.1385"
"estimates","Female","(({std.error}))","","((0.0032))","","((0.0024))","","((0.0027))","","((0.0032))","","((0.0028))","","((0.0047))"
"estimates","Female","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.000"
"estimates","Black, non-Hispanic/Latino","estimate","","0.0035","","-0.0191","","0.0309","","-0.1246","","0.0184","","0.1010"
"estimates","Black, non-Hispanic/Latino","(({std.error}))","","((0.0039))","","((0.0028))","","((0.0029))","","((0.0067))","","((0.0104))","","((0.0062))"
"estimates","Black, non-Hispanic/Latino","P={p.value}","","P=0.368","","P=0.000","","P=0.000","","P=0.000","","P=0.084","","P=0.000"
"estimates","Hispanic/Latino","estimate","","0.0570","","0.0074","","0.0347","","-0.0204","","0.0144","","0.0595"
"estimates","Hispanic/Latino","(({std.error}))","","((0.0064))","","((0.0039))","","((0.0032))","","((0.0054))","","((0.0075))","","((0.0083))"
"estimates","Hispanic/Latino","P={p.value}","","P=0.000","","P=0.064","","P=0.000","","P=0.000","","P=0.062","","P=0.000"
"estimates","American Indian or Alaska Native","estimate","","0.0644","","0.0374","","0.0629","","-0.0092","","0.0875","","0.0977"
"estimates","American Indian or Alaska Native","(({std.error}))","","((0.0083))","","((0.0099))","","((0.0102))","","((0.0122))","","((0.0178))","","((0.0137))"
"estimates","American Indian or Alaska Native","P={p.value}","","P=0.000","","P=0.001","","P=0.000","","P=0.455","","P=0.000","","P=0.000"
