state,st_abbr,fipsst,year,max_bft_3,notes
Alabama,AL,1,2001,164,
Alabama,AL,1,2003,215,
Alabama,AL,1,2005,215,
Alabama,AL,1,2007,215,
Alabama,AL,1,2009,215,
Alabama,AL,1,2011,215,
Alabama,AL,1,2013,215,
Alabama,AL,1,2015,215,
Alabama,AL,1,2016,215,
Alabama,AL,1,2017,215,
Alabama,AL,1,2018,215,
Alabama,AL,1,2019,215,
Alabama,AL,1,2020,215,
Alabama,AL,1,2021,215,
Alaska,AK,2,2001,923,
Alaska,AK,2,2003,923,
Alaska,AK,2,2005,923,
Alaska,AK,2,2007,923,
Alaska,AK,2,2009,923,
Alaska,AK,2,2011,923,
Alaska,AK,2,2013,923,
Alaska,AK,2,2015,923,
Alaska,AK,2,2016,923,
Alaska,AK,2,2017,923,
Alaska,AK,2,2018,923,
Alaska,AK,2,2019,923,
Alaska,AK,2,2020,923,
Alaska,AK,2,2021,923,*used value from 2020
Arizona,AZ,4,2001,347,
Arizona,AZ,4,2003,347,
Arizona,AZ,4,2005,347,
Arizona,AZ,4,2007,347,
Arizona,AZ,4,2009,347,
Arizona,AZ,4,2011,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2013,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2015,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2016,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2017,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2018,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2019,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2020,347,*modest diagreement between database and summary table; used database since available for all years
Arizona,AZ,4,2021,347,*modest diagreement between database and summary table; used database since available for all years
Arkansas,AR,5,2001,204,
Arkansas,AR,5,2003,204,
Arkansas,AR,5,2005,204,
Arkansas,AR,5,2007,204,
Arkansas,AR,5,2009,204,
Arkansas,AR,5,2011,204,
Arkansas,AR,5,2013,204,
Arkansas,AR,5,2015,204,
Arkansas,AR,5,2016,204,
Arkansas,AR,5,2017,204,
Arkansas,AR,5,2018,204,
Arkansas,AR,5,2019,204,
Arkansas,AR,5,2020,204,
Arkansas,AR,5,2021,204,
California,CA,6,2001,645,
California,CA,6,2003,704,
California,CA,6,2005,752,
California,CA,6,2007,723,
California,CA,6,2009,723,
California,CA,6,2011,694,
California,CA,6,2013,638,
California,CA,6,2015,704,
California,CA,6,2016,704,
California,CA,6,2017,714,
California,CA,6,2018,714,
California,CA,6,2019,785,
California,CA,6,2020,878,
California,CA,6,2021,878,*used value from 2020
Colorado,CO,8,2001,356,"*unavailable in database, only summary table for 1996 ($356) and 2004 ($356); used $356"
Colorado,CO,8,2003,356,"*unavailable in database, only summary table for 1996 ($356) and 2004 ($356); used $356"
Colorado,CO,8,2005,356,"*unavailable in database, only summary table for 1996 ($356) and 2004 ($356); used $356"
Colorado,CO,8,2007,356,"*unavailable in database, only summary table for 1996 ($356) and 2004 ($356); used $356"
Colorado,CO,8,2009,462,
Colorado,CO,8,2011,462,
Colorado,CO,8,2013,462,
Colorado,CO,8,2015,462,
Colorado,CO,8,2016,462,
Colorado,CO,8,2017,462,
Colorado,CO,8,2018,462,
Colorado,CO,8,2019,508,
Colorado,CO,8,2020,508,
Colorado,CO,8,2021,508,
Connecticut,CT,9,2001,543,
Connecticut,CT,9,2003,543,
Connecticut,CT,9,2005,543,
Connecticut,CT,9,2007,543,
Connecticut,CT,9,2009,576,
Connecticut,CT,9,2011,576,
Connecticut,CT,9,2013,576,
Connecticut,CT,9,2015,597,
Connecticut,CT,9,2016,597,
Connecticut,CT,9,2017,597,
Connecticut,CT,9,2018,597,
Connecticut,CT,9,2019,597,
Connecticut,CT,9,2020,597,
Connecticut,CT,9,2021,597,
Delaware,DE,10,2001,338,
Delaware,DE,10,2003,338,
Delaware,DE,10,2005,338,
Delaware,DE,10,2007,338,
Delaware,DE,10,2009,338,
Delaware,DE,10,2011,338,
Delaware,DE,10,2013,338,
Delaware,DE,10,2015,338,
Delaware,DE,10,2016,338,
Delaware,DE,10,2017,338,
Delaware,DE,10,2018,338,
Delaware,DE,10,2019,338,
Delaware,DE,10,2020,338,
Delaware,DE,10,2021,338,*used value from 2020
District of Columbia,DC,11,2001,379,
District of Columbia,DC,11,2003,379,
District of Columbia,DC,11,2005,379,
District of Columbia,DC,11,2007,407,
District of Columbia,DC,11,2009,428,
District of Columbia,DC,11,2011,428,
District of Columbia,DC,11,2013,428,
District of Columbia,DC,11,2015,434,
District of Columbia,DC,11,2016,441,
District of Columbia,DC,11,2017,508,
District of Columbia,DC,11,2018,575,
District of Columbia,DC,11,2019,642,
District of Columbia,DC,11,2020,658,
District of Columbia,DC,11,2021,658,
Florida,FL,12,2001,303,
Florida,FL,12,2003,303,
